nome	mail	web	tel	fax	ind	info
UNION B.I.O. S.r.l.	commerciale@unionbio.it	www.unionbio.it	0039 0575 250767	0039 0575 251863	Via Achille Grandi, 8552100 AREZZO (AR)Italia	Prodotti naturali per la salute, l'igiene e la bellezza del cavallo. La loro esclusiva composizione garantisce la sicurezza e l'efficacia di ogni prodotto Union B.I.O. Natural products for horse's health, hygiene and beauty. Their exclusive composition guarantees the safety and the effectiveness of every Union B.I.O.'s product
AAEE ITALIA - ASOCIACION DE ALTA ESCUELA ESPANOLA ITALIA	paola-salvador@tiscali.it	www.aaee.it	0039 348 5978383		Via della Marogna 125082 BOTTICINO SERA (BS)Italia	Associazione sportiva di cultura equestre, Alta Scuola Spagnola, Doma Vaquera, Doma Classica
FELLINI di ANDREATTA GIANCARLO	fellini_ridingboots@hotmail.com		0039 331 3883042		Via Europa 62/831040 GIAVERA DEL MONTELLO (TV)Italia	Scarpe/stivali made in Italy, articoli per equitazione
SELVA VECCHIA SOCIETA' AGRICOLA - TOMMASI DOMENICO E FIGLI S.r.l.	selvavecchia@gmail.com - info@tommasipietre.it	www.tommasipietre.it	0039 347 7636352 - 340 5003699		Via Provalo, 1337020 S.ANNA D'ALFAEDO (VR)Italia	Azienda Agricola - Lavorazione pietre
SCENOTEC S.r.l. - SIROLLA CARLO	info@scenotec.it		0039 045 8580707		Via A. Pacinotti 1537060 SOMMACAMPAGNA (VR)Italia	Artista e scultore
LO SPERONE di BISCO MIRANDA	info@losperoneonline.it	www.losperoneonline.it	0039 331 638133	0039 0331 638133	Via Varese, 2821052 BUSTO ARSIZIO (VA)Italia	Vendita articoli equitazione
BMW ITALIA S.p.A.	bmw@bmw.it	www.bmw.it	0039 02 51610111	0039 02 516100222	Via della Unione Europea, 120097 SAN DONATO MILANESE (MI)Italia	Commercializzazione e assistenza tecnica di auto, moto, parti di ricambio, accessori e servizi connessi attraverso la propria Rete di Concessionarie
GALLERIA MASSELLA	liciamassella@gmail.com	www.galleriamassella.com	0039 348 7560462		Via Dietro Filippini, 1337121 VERONA (VR)Italia	"GALLERIA MASSELLA presenta la mostra di scultura ""I cavalli di Elena"" di Elena Cracco, a cura di Licia Massella con il contributo di Flavia Rossignoli e Giorgio Bertini, in collaborazione con il GRUPPO INSIEME della Cooperativa Sociale FILO CONTINUO Onlus"
PARLANTI STIVALERIA S.r.l.	parlanti@parlanti.com	www.parlanti.com	0039 0774 382466	0039 0774 369161	Strada Galli, 1300010 VILLA ADRIANA - TIVOLI (RM)Italia	Chaps - Stivali, stivaletti , ghette in pelle su misura - Calzature - Abbigliamento Boots - Gaiters - Bags - Luggage - Shoes - Belts
EQUITANA	info@equitana.com	www.equitana.com	0049 211 90191 201	0049 211 90191143	Völklinger Str. 440219 DUSSELDORF ( )GERMANIA	EQUITANA - The equestrian sports world fair! What really makes the Equitana unique is that there are exhibitors from all areas of the equestrian business presenting their products and services as well all sorts of different horse breeds at a glance.You'll find more than 850 exhibitors and 700 hours of show and program.
EQUITARE S.r.l.	info@equitare.it	www.equitare.it	0039 0577 1658356	0039 0577 1658356	Via del Borgo 7253018 ROSIA (SI)Italia	Libri, stampa specializzata
COUNTRY WORLD COMPANY	cwc-web@laposte.net	www.countryworldcompany.com	0033 626710276		Mas Andre Saint Marcel30122 LES PLANTIERS ( )FRANCIA	Fibbie - Coperte - Cinture - Caschi per l'equitazione - Caps - Borse - Abbigliamento - Speroni - Articoli in pelle e cuoio - Arte equestre/Oggettistica - Oreficere, gioiellerie - Giacche Buckles - Blankets - Belts - Horse-riding hats - Caps - Bags - Clothing - Spurs - Leather articles - Equestrian Art / Decorative articles - Jewellery - Jackets
DOLCI E TENTAZIONI	dolcietentazioni@gmail.com	dolcietentazioni@gmail.com	0039 348 7535121	0039 049 8805010	Via Don Milani 2435020 ALBIGNASEGO (PD)Italia	Vendita di prodotti salati e dolci tipicamente siciliani.

